No. overall [n 2],No. in season,Title [n 3],Directed by,Written by,Original release date [n 4],English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,English air date [12],Unnamed: 6,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Episodes', 'Episodes')","('Release date', 'NA')","('Release date', 'UK & IE')","('Release date', 'AUS & NZ')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,,,,,,,,,,,,,,,,,,,,,,
579,1,"""Arriving! A Burning Island - Punk Hazard!"" Transliteration: ""Jōriku! Moeru Shima Panku Hazādo"" (Japanese: 上陸！燃える島パンクハザード)",Directed by : Ayako Hiraike Storyboarded by : Naoyuki Itō,Tomohiro Nakayama,"January 6, 2013","September 4, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,2,"""A Battle in the Heat! Luffy vs. the Giant Dragon!"" Transliteration: ""Shakunetsu no Tatakai! Rufi tai Kyodai Ryū!"" (Japanese: 灼熱の戦い！ルフィVS（たい）巨大竜！)",Yutaka Nakashima,Jin Tanaka,"January 13, 2013","September 4, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,3,"""The Straw Hats Stunned! Enter: A Samurai's Horrifying Severed Head!"" Transliteration: ""Ichimi Sōzen! Shōgeki no Kubi dake Samurai Tōjō!"" (Japanese: 一味騒然！衝撃の首だけ侍登場！)",Hiroaki Miyamoto,Yoshiyuki Suga,"January 20, 2013","September 11, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,4,"""Startling! The Secret of the Island Is Finally Revealed!"" Transliteration: ""Kyōgaku! Tsui ni Akasareru Shima no Himitsu"" (Japanese: 驚愕！遂に明かされる島の秘密)",Yoshihiro Ueda,Tomohiro Nakayama,"January 27, 2013","September 11, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,5,"""Save the Children! The Straw Hats Start to Fight!"" Transliteration: ""Kodomo-tachi o Sukue! Ichimi Sentō Kaishi"" (Japanese: 子供達を救え！一味戦闘開始)",Aya Komaki,Yoshiyuki Suga,"February 3, 2013","September 25, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,6,"""A Swordplay Showdown! Brook vs. the Mysterious Torso Samurai!"" Transliteration: ""Kenjutsu Shōbu - Burukku tai Nazo no Dōtai Samurai"" (Japanese: 剣術勝負 ブルックVS（たい）謎の胴体侍)",Directed by : Tetsuya Endō Storyboarded by : Kenji Yokoyama,Jin Tanaka,"February 10, 2013","September 25, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,7,"""The Warlord! Trafalgar Law!"" Transliteration: ""Shichibukai! Torafarugā Rō"" (Japanese: 七武海！トラファルガー・ロー)",Directed by : Takahiro Imamura Storyboarded by : Naotoshi Shida,Tomohiro Nakayama,"February 17, 2013","October 2, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,8,"""In a Real Pinch! Luffy Sinks into the Ice-cold Lake!"" Transliteration: ""Dai Pinchi - Rufi Gokkan no Mizuumi ni Shizumu"" (Japanese: 大ピンチ ルフィ極寒の湖に沈む)",Katsumi Tokoro,Jin Tanaka,"March 3, 2013","October 2, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,9,"""A Collision! Law vs. Vice Admiral Smoker!"" Transliteration: ""Gekitotsu! Rō tai Sumōkā Chūjō"" (Japanese: 激突！ローVS（たい）スモーカー中将)",Naoyuki Itō,Yoshiyuki Suga,"March 17, 2013","October 9, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
